feature,importance
active_days,0.14895765
from_count,0.07982317
above_median,0.07826694
relative_activity,0.06780977
last30d_from_ratio,0.055612635
to_cross_ratio,0.043172307
activity_level,0.03997012
is_balanced,0.035327926
total_cross_ratio,0.030007487
balance_days,0.026100406
last30d_cross_ratio,0.025166046
to_unique_senders,0.024878448
to_cross_count,0.023933811
from_unique_receivers,0.02383636
last30d_count,0.022073573
to_count,0.021204596
from_cross_ratio,0.020727852
txn_per_day,0.018000565
to_daily_avg,0.017101021
inout_ratio,0.016574508
total_count,0.016252756
amt_std,0.015626876
same_day_count,0.015295404
same_day_inout_ratio,0.014880405
to_total_amt,0.014627735
txn_diversity,0.013729912
from_cross_count,0.013566437
from_total_amt,0.013550753
net_flow,0.01352064
to_mean_amt,0.013283591
amt_max,0.0128132375
balance_score,0.012729722
from_mean_amt,0.0115772635
